pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,experiment
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.3422424088637193,0.0621773228049278,100.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.4435691764604282,0.0675775110721588,200.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.5289797323337058,0.0937451273202896,300.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.5144678306338397,0.0779143273830413,100.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.443661833747092,0.0804432779550552,200.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.480980957780404,0.0843480005860328,300.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.5930823648267606,0.0232105869799852,100.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.6469164730244117,0.0287912171334028,200.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.726321742318772,0.0317703634500503,300.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.7366091560045872,0.212550014257431,100.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4844798798935959,0.3025045692920685,200.0,50.0,4.0,3,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.4647342383057723,0.3273075819015503,300.0,50.0,4.0,3,burgers_grid_clean
