pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,hidden_dim,n_layers,experiment,n_seeds,f1_l2_error_mean,f1_l2_error_std,f1_l2_error_min,f1_l2_error_max,f2_pde_residual_mean,f2_pde_residual_std,f2_pde_residual_min,f2_pde_residual_max,f3_data_budget_mean,f3_data_budget_std,f3_data_budget_min,f3_data_budget_max
burgers,nsga2,0.0,0.0,9.972953106297044,9.710166014644376,81.0,,,,burgers_nsga2_clean,1,0.3770961543655225,0.0,0.3770961543655225,0.3770961543655225,0.0543525367975235,0.0,0.0543525367975235,0.0543525367975235,81.0,0.0,81.0,81.0
burgers,nsga3,0.0,0.0,0.1662598276497624,8.132889121763524,457.0,,,,burgers_nsga3_clean,1,0.814008104196877,0.0,0.814008104196877,0.814008104196877,0.0101983603090047,0.0,0.0101983603090047,0.0101983603090047,457.0,0.0,457.0,457.0
burgers,nsga3,0.0,0.0,0.2765635733174406,9.725049499487676,292.0,,,,burgers_nsga3_clean,1,0.7920848224637717,0.0,0.7920848224637717,0.7920848224637717,0.0122166937217116,0.0,0.0122166937217116,0.0122166937217116,292.0,0.0,292.0,292.0
burgers,nsga3,0.0,0.0,0.3413697537061666,9.09405759342786,145.0,,,,burgers_nsga3_clean,1,0.7519781539988446,0.0,0.7519781539988446,0.7519781539988446,0.0161198936402797,0.0,0.0161198936402797,0.0161198936402797,145.0,0.0,145.0,145.0
burgers,nsga3,0.0,0.0,0.3660891498428729,6.130420007229352,302.0,,,,burgers_nsga3_clean,1,0.6698553427237097,0.0,0.6698553427237097,0.6698553427237097,0.0190299954265356,0.0,0.0190299954265356,0.0190299954265356,302.0,0.0,302.0,302.0
burgers,nsga3,0.0,0.0,0.3710919456480361,9.150656955200484,298.0,,,,burgers_nsga3_clean,1,0.7599987697795646,0.0,0.7599987697795646,0.7599987697795646,0.0160614252090454,0.0,0.0160614252090454,0.0160614252090454,298.0,0.0,298.0,298.0
burgers,nsga3,0.0,0.0,0.3968891737653644,5.286364043336957,257.0,,,,burgers_nsga3_clean,1,0.5968539969310358,0.0,0.5968539969310358,0.5968539969310358,0.0258141383528709,0.0,0.0258141383528709,0.0258141383528709,257.0,0.0,257.0,257.0
burgers,nsga3,0.0,0.0,0.4234553510388887,5.8712772254591465,404.0,,,,burgers_nsga3_clean,1,0.6786377886142853,0.0,0.6786377886142853,0.6786377886142853,0.0234699007123708,0.0,0.0234699007123708,0.0234699007123708,404.0,0.0,404.0,404.0
burgers,nsga3,0.0,0.0,0.7199737031531294,4.773973417945141,146.0,,,,burgers_nsga3_clean,1,0.7442135737526874,0.0,0.7442135737526874,0.7442135737526874,0.040522065013647,0.0,0.040522065013647,0.040522065013647,146.0,0.0,146.0,146.0
burgers,nsga3,0.0,0.0,1.2296712179541247,5.532586573543142,54.0,,,,burgers_nsga3_clean,1,0.624302986094508,0.0,0.624302986094508,0.624302986094508,0.0432679504156112,0.0,0.0432679504156112,0.0432679504156112,54.0,0.0,54.0,54.0
burgers,nsga3,0.0,0.0,1.2475902079044163,7.888205673417476,115.0,,,,burgers_nsga3_clean,1,0.4419174538422472,0.0,0.4419174538422472,0.4419174538422472,0.0276344381272792,0.0,0.0276344381272792,0.0276344381272792,115.0,0.0,115.0,115.0
burgers,nsga3,0.0,0.0,1.2507211226125978,8.627516002822937,107.0,,,,burgers_nsga3_clean,1,0.5602849450241152,0.0,0.5602849450241152,0.5602849450241152,0.0278196856379508,0.0,0.0278196856379508,0.0278196856379508,107.0,0.0,107.0,107.0
burgers,nsga3,0.0,0.0,1.4912917472219385,6.993737938522589,468.0,,,,burgers_nsga3_clean,1,0.5365574921464945,0.0,0.5365574921464945,0.5365574921464945,0.0389099270105361,0.0,0.0389099270105361,0.0389099270105361,468.0,0.0,468.0,468.0
burgers,nsga3,0.0,0.0,1.6136427791225805,7.584703995371301,51.0,,,,burgers_nsga3_clean,1,0.5272857109271796,0.0,0.5272857109271796,0.5272857109271796,0.0322208888828754,0.0,0.0322208888828754,0.0322208888828754,51.0,0.0,51.0,51.0
burgers,nsga3,0.0,0.0,2.0383485914597745,6.438275106487172,116.0,,,,burgers_nsga3_clean,1,0.4138771473041254,0.0,0.4138771473041254,0.4138771473041254,0.0412645265460014,0.0,0.0412645265460014,0.0412645265460014,116.0,0.0,116.0,116.0
burgers,nsga3,0.0,0.0,2.546788558381226,2.985612942997819,97.0,,,,burgers_nsga3_clean,1,0.3931869230149974,0.0,0.3931869230149974,0.3931869230149974,0.0443896278738975,0.0,0.0443896278738975,0.0443896278738975,97.0,0.0,97.0,97.0
burgers,nsga3,0.0,0.0,3.7065208229731006,0.8498628268825149,105.0,,,,burgers_nsga3_clean,1,0.3558192387828477,0.0,0.3558192387828477,0.3558192387828477,0.1001618131995201,0.0,0.1001618131995201,0.1001618131995201,105.0,0.0,105.0,105.0
burgers,nsga3,0.0,0.0,3.997162555083397,6.130262104305261,138.0,,,,burgers_nsga3_clean,1,0.3879779733968583,0.0,0.3879779733968583,0.3879779733968583,0.0474041365087032,0.0,0.0474041365087032,0.0474041365087032,138.0,0.0,138.0,138.0
burgers,nsga3,0.0,0.0,4.978705397213514,7.5453225510866435,114.0,,,,burgers_nsga3_clean,1,0.2862150698363282,0.0,0.2862150698363282,0.2862150698363282,0.0490559078752994,0.0,0.0490559078752994,0.0490559078752994,114.0,0.0,114.0,114.0
burgers,nsga3,0.0,0.0,6.450779192175442,2.6985973509249392,59.0,,,,burgers_nsga3_clean,1,0.3309279472932371,0.0,0.3309279472932371,0.3309279472932371,0.0478298477828502,0.0,0.0478298477828502,0.0478298477828502,59.0,0.0,59.0,59.0
